text,label
επιφυλάσσω υποδοχή σε,1
επιφυλάσσω έκπληξη σε,1
επιφυλάσσω θερμή υποδοχή σε,1
έρχομαι γάντι σε,1
έρχομαι κουτί σε,1
έρχομαι λουκούμι σε,1
ετοιμάζω έκπληξη σε,1
εφιστώ την προσοχή του σε,1
εφιστώ την Προσοχή του σε,1
έχω αδυναμία σε,1
έχω την τελευταία λέξη σε,1
έχω λιγούρα για,1
έχω λόξα με,1
έχω μεσάνυχτα από,1
έχω μυαλό σε,1
έχω μαύρα μεσάνυχτα από,1
έχω νου σε,1
έχω νταραβέρια με,1
έχω παρτίδες με,1
έχω με,1
έχω πέραση σε,1
έχω την στημένη σε,1
έχω το πάνω χέρι σε,1
ζαλίζω τα αυτιά σε,1
ζαλίζω τον έρωτα σε,1
ζαλίζω τα μυαλά σε,1
ζητάω άδεια από,1
ζητάω ακρόαση από,1
ζητάω βοήθεια από,1
ζητάω γνώμη από,1
ζητάω δικαιοσύνη από,1
ζητάω εξηγήσειs από,1
ζητάω επαφή με,1
ζητάω επιβεβαίωση από,1
ζητάω ευτυχία σε,1
ζητάω καταφύγιο από,1
ζητάω καταφύγιο ,1
ζητάω λογαριασμό από,1
ζητάω τον λόγο από,1
δεν ζητάω πολλά από,1
ζητάω συγχώρεση από,1
ζητάω συμβουλή από,1
ζητάω τα ρέστα από,1
θέτω όρους σε,1
θέτω τις βάσεις σε,1
θέτω τις βάσεις για,1
κρατάω ζεστασιά σε,1
κρατάω κακία σε,1
κρατάω καταγωγή από,1
κρατάω το μανιάτικο σε,1
κρατάω μούρη σε,1
κρατάω μούτρα σε,1
κρατάω την ονομασία από,1
κρατάω συντροφιά σε,1
κρατάω φανάρι σε,1
κρατάω μία πισινή σε,1
κρούω τον κώδωνα του κινδύνου σε,1
κρύβω χαρτιά από,1
κρύβω λόγια από,1
κάνω βήματα σε,1
κάνω γκριμάτσες σε,1
κάνω έκπληξη σε,1
κάνω εμφάνιση ,1
κάνω κακή εντύπωση σε,1
κάνω καλή εντύπωση σε,1
κάνω εντυπωσιακή είσοδο σε,1
κάνω έξοδο ,1
κάνω θαύματα σε,1
κάνω θόρυβο γύρω από,1
κάνω θραύση σε,1
κάνω κακή σε,1
κάνω καλό σε,1
κάνω τον καραγκιόζη σε,1
κάνω κατάσταση σε,1
κάνω κόρτε σε,1
κάνω κουμάντο σε,1
κάνω λαδιά σε,1
κάνω λαδιές σε,1
κάνω μάγια σε,1
κάνω μαγκιές σε,1
κάνω μασάζ σε,1
κάνω τα γλυκά μάτια σε,1
κάνω τα στραβά μάτια σε,1
κάνω μέτωπο εναντίον,1
κάνω μούτρα σε,1
κάνω νερά σε,1
κάνω πανιά για,1
κάνω τα πάντα για,1
κάνω πλάκα σε,1
κάνω πλάτες σε,1
κάνω πλύση εγκεφάλου σε,1
κάνω ποδαρικό σε,1
κάνω πουστιά σε,1
κάνω πουστιές σε,1
κάνω σήμα σε,1
κάνω σινιάλο σε,1
κάνω σκηνή σε,1
κάνω σπάσιμο σε,1
κάνω μεγάλη τιμή σε,1
κάνω φιγούρα σε,1
κάνω χαλάστρα σε,1
κάνω χοντράδες σε,1
κάνω χάρη σε,1
κάνω ψιλά από,1
καρφώνω βλέμμα πάνω σε,1
καρφώνω μάτια πάνω σε,1
καταθέτω μομφή εναντίον,1
καταθέτω μήνυση εναντίον,1
καταφέρω πλήγμα σε,1
κατεβάζω βρακιά μπροστά σε,1
κατευθύνω βήμα ,1
κατευθύνω βήματα ,1
κατευθύνω βλέμμα ,1
κατευθύνω τη σκέψη του σε,1
κερδίζω γαλόνια ,1
κηρύσσω τον πόλεμο σε,1
κηρύσσω τον πόλεμο εναντίον,1
κηρύσσω πτώχευση σε,1
κλέβω την παράσταση από,1
κλείνω τα αυτιά σε,1
κλείνω θέση για,1
κλείνω μάτι σε,1
κλείνω τα μάτια μπροστά σε,1
κλείνω πόρτα σε,1
κλείνω ραντεβού με,1
κλείνω το σπίτι σε,1
κλείνω συμφωνία με,1
κλείνω το τηλέφωνο σε,1
κόβω τις γέφυρες επικοινωνίας με,1
κόβω τη δουλειά ,1
κόβω δρόμο ,1
κόβω λάσπη ,1
κόβω τα με,1
κόβω τα πολλά πολλά με,1
κόβω τις φλέβες μου για,1
κολάω τη ρετσινιά σε,1
κοστίζω μαλλιά της κεφαλής σε,1
κοστίζω μία περιουσία σε,1
δεν κουνάω το ρούπι ,1
κρατάω απόστασεις από,1
λέω όλη την αλήθεια σε,1
λέω την πικρή αλήθεια σε,1
λέω αμαρτία σε,1
λέω τον καφέ σε,1
λέω δυο κουβέντες σε,1
λέω δυο λόγια σε,1
λέω το μακρύ μου και το κοντό μου σε,1
λέω την μοίρα σε,1
λέω τα νέα της κάτι σε,1
λέω πόνο σε,1
λέω το ριζικό σε,1
λέω το φλυτζάνι σε,1
λέω το χέρι σε,1
δεν λέω κάτι που να αξίζει σε,1
δεν λέω πολλά σε,1
δεν λέω τίποτα σε,1
δεν λέω τίποτα καλό σε,1
λέω τα όλα με,1
λέω τα ένα χεράκι σε,1
λύνω διαφορά με,1
λύνω την παρεξήγηση με,1
μαθαίνω πολλά για,1
μαθαίνω νέα για,1
μεταδίδω τις γνώσεις μου σε,1
μεταδίδω διάθεση σε,1
μεταδίδω θετική ενέργεια σε,1
μεταδίδω λύσσα σε,1
μεταδίδω τα νεύρα Νhum σε,1
δεν μετράω πολύ για,1
μοιράζω χαμογελά σε,1
μοιράζομαι τη ζωή μου με,1
μπήγω τις φωνές σε,1
ξαναφτιάχνω ζωή με,1
ξεκινάω ζωή από,1
ξεκινάω συνομιλίες με,1
ξεκινάω ειρηνευτικές συνομιλίες με,1
δεν ξεκολλάω βλέμμα από,1
δεν ξεκολλάω ματιά από,1
ξεσηκώνω κύματα διαμαρτυρίας σε,1
ξοδεύω ένα καρό λεφτά για,1
ξοδεύω ένα σκασμό λεφτά για,1
ξοδεύω χρόνο σε,1
ξυπνάω το ενδιαφέρον του για,1
οδηγώ βήματα ,1
ομολογώ λάθη σε,1
ομολογώ σφάλματα σε,1
ορκίζομαι αιώνια πίστη σε,1
ορκίζομαι υπακοή σε,1
ορκίζομαι αιώνια φιλία σε,1
οφείλω σεβασμό σε,1
οφείλω μια συγγνώμη σε,1
οφείλω υπακοή σε,1
παίζω θέατρο σε,1
παίζω κεφάλι ,1
παίζω την κολοκυθιά με,1
παίζω τις κουμπάρες με,1
παίζω το κρυφτό με,1
παίζω το κρυφτούλι με,1
παίζω μπουνιές με,1
παίζω παιγνίδι σε,1
παίζω βρώμικο παιγχνίδι σε,1
παίζω άσχημο παιχνίδι σε,1
παίζω διπλό παιχνίδι με,1
παίζω σφαλιάρες με,1
παίζω χαρτί ,1
παίζω μαλακία σε,1
παίζω πουστιά σε,1
παίρνω άδεια από,1
παίρνω άφεση από,1
παίρνω άφεση αμαρτιών από,1
παίρνω γνώμες για,1
παίρνω τη γνώμη του για,1
παίρνω γραμμή από,1
παίρνω διαζύγιο από,1
παίρνω δρόμο ,1
παίρνω δύναμη από,1
παίρνω ζωή από,1
παίρνω θέση σε,1
δεν παίρνω κουβέντα από,1
παίρνω κουράγιο από,1
δεν παίρνω λέξη από,1
παίρνω λόγια από,1
παίρνω μάθημα ζωής από,1
παίρνω ένα καλό μάθημα από,1
παίρνω μαθήματα από,1
παίρνω τα όπλα εναντίον,1
παίρνω παράδειγμα από,1
παίρνω πόδι ,1
παίρνω πόδια από,1
παίρνω προφυλάξεις με,1
παίρνω ραντεβού με,1
παίρνω σημειώσεις πάνω σε,1
παραδίδω τη σκυτάλη σε,1
παραδίδω το πνεύμα μου σε,1
παραχωρώ το έδαφος σε,1
παραχωρώ εύνοια σε,1
παραχωρώ το μερίδιο μου σε,1
πατάω κατσάδα σε,1
πατάω πόδι σε,1
πατάω φωνές σε,1
δεν πατάω πόδι ,1
περιποιώ τιμή σε,1
περνάω τις χειροπέδες σε,1
περνάω ένα τελευταίο χέρι ,1
πετάω ένα καρφί σε,1
πετάω ένα κόκκαλο σε,1
πετάω το μπαλλάκι σε,1
πετάω σκούφια για,1
πετάω σπόντα σε,1
πετάω σπόντες σε,1
πετάω μπηχτές σε,1
πηγαίνω τα μία χαρά με,1
πηγαίνω το λάου λάου με,1
πιάνω την κουβέντα με,1
δεν πιάνω μία μπροστά σε,1
δεν πιάνω μπάζα μπροστά σε,1
δεν πιάνω χαρτωσιά μπροστά σε,1
πληρώνω ένα κάρο λεφτά σε,1
πληρώνω ένα σκασμό λεφτά σε,1
πνίγω πόνο σε,1
πουλάω αγριάδα σε,1
πουλάω εξυπνάδα σε,1
πουλάω μαγκιά σε,1
πουλάω παραμύθια σε,1
πουλάω φούμαρα σε,1
προκαλώ αίσθηση σε,1
προκαλώ διαμαρτυρίες σε,1
προκαλώ θλίψη σε,1
προκαλώ καυγά σε,1
προκαλώ οίκτο σε,1
προκαλώ ρήγμα σε,1
προκαλώ τριγμούς σε,1
προσφέρω αναγνώριση σε,1
προσφέρω θέαμα σε,1
προσφέρω στόχο σε,1
προσφέρω τιμές σε,1
προτάσσω τα ενάντια σε,1
ρίχνω άγκυρα ,1
ρίχνω όλο το άδικο σε,1
ρίχνω το βάρος σε,1
ρίχνω ένα βλέμμα σε,1
ρίχνω ένα βλέφαρο σε,1
ρίχνω το γάντι σε,1
ρίχνω κροκοδείλια δάκρυα για,1
ρίχνω δίκτυα σε,1
ρίχνω δόλωμα σε,1
ρίχνω την ευθύνη σε,1
ρίχνω καρφιά σε,1
ρίχνω το λάθος σε,1
ρίχνω λάσπη σε,1
ρίχνω τον λίθο του αναθέματος σε,1
ρίχνω μία Adj ματιά σε,1
ρίχνω μία τελευταία ματιά σε,1
ρίχνω το μπαλάκι σε,1
ρίχνω μπηχτές σε,1
ρίχνω ξύλο σε,1
ρίχνω πιστόλι σε,1
ρίχνω πόντους σε,1
ρίχνω σφαλιάρα σε,1
ρίχνω τις τιμές σε,1
ρίχνω φυλακή σε,1
ρίχνω άπλετο φως σε,1
σέρνω τα εξαμάξης σε,1
σέρνω πόδια ,1
σηκώνω το βλέμμα προς,1
σηκώνω κεφάλι σε,1
σηκώνω μάτια σε,1
σηκώνω τα μάτια προς,1
σηκώνω χέρι πάνω σε,1
δεν σηκώνω κεφάλι από,1
σηκώνω τη φωνή σε,1
σημαίνω πολλά για,1
σκάω το μυστικό σε,1
σκάω μύτη σε,1
σκάω χαμόγελο σε,1
σκάω μπουκέτο σε,1
σκάω το παραμύθι σε,1
σκύβω το κεφάλι κάτω από,1
σκύβω την πλάτη κάτω από,1
σκύβω τους ώμους κάτω από,1
σπάω κεφάλι για,1
σπάω μούρη ,1
σπάω μούρη σε,1
σπάω μούτρα ,1
σπάω μούτρα σε,1
σπέρνω την αμφιβολία σε,1
σπέρνω τη διχόνοια ,1
σπέρνω διχόνοιες ,1
σπέρνω ζιζάνια ,1
σπέρνω τον πανικό ,1
σπέρνω τον τρόμο ,1
σταυρώνω χέρια μπροστά σε,1
στέκομαι δίπλα σε,1
στέκομαι κλαρίνο μπροστά σε,1
στέκομαι σούζα μπροστά σε,1
στέλνω καλημέρα σε,1
στέλνω μήνυμα σε,1
στέλνω φιλιά σε,1
στέλνω χαιρετίσματα σε,1
στέλνω αγωνιστικούς χαιρετισμούς σε,1
στήνω αυτί σε,1
στήνω κώλο σε,1
στηρίζω ελπίδες σε,1
στοιχηματίζω βρακί με,1
στρέφω το βλέμμα προς,1
στρέφω το βλέμμα σε,1
στρέφω τις ελπίδες του σε,1
στρέφω προσοχή προς,1
στρέφω προσπάθειες προς,1
στρέφω σκέψεις προς,1
στρώνω κώλο ,1
συγκεντρώνω μυαλό σε,1
συγκεντρώνω τις δυνάμεις του για,1
δεν συναντώ ψυχή ζώσα ,1
δεν συναντώ ψυχή ,1
συνδέω όνομα με,1
τάζω λαγούς και πετραχήλια σε,1
τείνω κλάδο ελαίας σε,1
τείνω το χέρι σε,1
τελειώνω μέρες ,1
τηρώ τις αποστάσεις από,1
τραβάω ένα βρισίδι σε,1
τραβάω κλωτσιά σε,1
τραβάω μπουνιές σε,1
τραβάω μια μονοκοντυλιά σε,1
τραβάω μια ξανάστροφη σε,1
τραβάω ένα σκαμπίλι σε,1
τραβάω σφαλιάρα σε,1
τραβάω ένα χαστούκι σε,1
τρίζω τα δόντια σε,1
τρώω άκυρο από,1
τρώω κατσάδα από,1
τρώω μούρη ,1
τρώω μουστάκια με,1
τρώω μούτρα ,1
τρώω μια χιλόπιτα από,1
υποβάλλω ευχαριστίες σε,1
υποβάλλω παραίτηση σε,1
υποβάλλω σέβη σε,1
υποβάλλω μήνυση εναντίον,1
υπόσχομαι λαμπρό μέλλον σε,1
υπόσχομαι λαγούς και πετραχήλια σε,1
υψώνω τον τόνο εναντίον,1
υψώνω την φωνή εναντίον,1
υψώνω την φωνή σε,1
υψώνω φωνή διαμαρτυρίας εναντίον,1
υψώνω το ανάστημά μου σε,1
φέρνω τον αέρα του κάτι σε,1
φέρνω νέο αίμα σε,1
φέρνω γούρι σε,1
φέρνω την ευθύνη για,1
φέρνω τύχη σε,1
φοράω ζουρλομανδύα σε,1
φοράω κερατά σε,1
φοράω τις χειροπέδες σε,1
φορτώνω την ευθύνη σε,1
φράζω το στόμα σε,1
φτιάχνω την διάθεση σε,1
φτιάχνω το κέφι σε,1
φτιάχνω την μέρα σε,1
χαίρω εκτίμησης εκ μέρους ,1
χαίρω εμπιστοσύνης εκ μέρους του,1
χαλάω το με,1
χάνω κάθε εκτίμηση για,1
χάνω επαφή με,1
χάνω τη ζωή μου σε,1
χάνω πάσα ιδέα για,1
χάνω τα λογικά μου με,1
χάνω το λογαριασμό με,1
χάνω την μπάλα με,1
χάνω το μυαλό μου για,1
χάνω σεβασμό για,1
χάνω υπομονή μπροστά σε,1
χάνω χρόνο με,1
χάνω ώρα με,1
χρυσώνω το χάπι σε,1
χρωστάω ευγνωμοσύνη σε,1
χρωστάω κέρασμα σε,1
χρωστάω χάρη σε,1
χύνω ιδρώτα για,1
χύνω αίμα για,1
χώνω μύτη σε,1
χώνω ουρά σε,1
χωρίζω τσανάκια με,1
ψάλλω τα εξαμάξης σε,1
ψάχνω καταφύγιο ,1
ψέλνω τον εξάψαλμο σε,1
ψέλνω τα κάλλαντα σε,1
ψέλνω το ίδιο τροπάρι σε,1
αγοράζω γουρούνι στο σακί,1
αδειάζω ποτήρι ως το πάτο,1
αμολάω ζωνάρι για καυγά,1
ανεβάζω το αίμα στο κεφάλι,1
ανεβάζω την πίεση στα ύψη,1
ανοίγω στόμα διάπλατα,1
αντιμετωπίζω την αλήθεια κατά πρόσωπο,1
αντιμετωπίζω το θάνατο κατά πρόσωπο,1
αντιμετωπίζω τη πραγματικότητα κατά πρόσωπο,1
αποσείω την ευθύνη από πάνω,1
αποτελώ την εξαίρεση στον κανόνα,1
αρπάζω την ευκαιρία από τα μαλλιά,1
αφήνω ανεξίτηλες αναμνήσεις σε τη μνήμη,1
αφήνω τις ευγένειες κατά μέρος,1
αφήνω καλύτερο για το τέλος,1
αφήνω αυτό το κόσμο για έναν άλλο καλύτερο,1
αφήνω παιδιά πίσω Ε,1
αφήνω περιθώρια στην φαντασία,1
αφήνω μια πίκρα στο στόμα,1
αφήνω χρέη πίσω Ε,1
δεν αφήνω όρθιο τίποτα,1
δεν αφήνω πετρά πάνω στην πετρά,1
δεν αφήνω τίποτα στην τύχη,1
βάζω απειλές σε εφαρμογή,1
βάζω αυτί στην πόρτα,1
βάζω γάτα να κλαίει,1
δεν βάζω γάτα να κλαίει,1
δεν βάζω γλώσσα μέσα,1
βάζω το δάχτυλο στην πληγή,1
βάζω τη θηλειά στο λαιμό,1
βάζω ιδέες στο κεφάλι,1
βάζω το κακό με νου,1
βάζω κεφάλι στον ντορβά,1
βάζω το λύκο να φυλάει τα πρόβατα,1
βάζω το μαχαίρι στο λαιμό,1
βάζω το μαχαίρι στην πληγή,1
βάζω τη μηχανή μπρος,1
βάζω μυαλό να δουλεύει,1
βάζω το νερό στο αυλάκι,1
βάζω νερό σε κρασί,1
βάζω νέφτι στον κώλο,1
βάζω την ουρά στα σκέλια,1
βάζω τα δυο πόδια σε ένα παπούτσι,1
βάζω τα ποδιά στην πλάτη,1
βάζω τα πόδια στον ωμό,1
βάζω τα πράγματα σε θέση,1
βάζω τα πράγματα σε τάξη,1
βάζω τον πήχυ ψηλά,1
βάζω το σχέδιο σε εφαρμογή,1
βάζω τέλος σε ζωή,1
βάζω τέλος σε μέρες,1
βάζω ένα τίγρη σε μηχανή,1
βάζω φτερά στα πόδια,1
βάζω χαλινάρι σε γλώσσα,1
βάζω το χέρι στην καρδιά,1
βάζω χέρι στα σκατά,1
βάζω το χέρι στην τσέπη,1
βάζω το χέρι στην τσέπη,1
βάζω χέρι σε τη φωτιά,1
βάζω τα χεριά σε τη μέση,1
βάζω τα χεριά στην τσέπη,1
βάζω ψύλλους στα αυτιά,1
βαστάω κοιλιά από τα γέλια,1
βαστάω πλευρά από τα γέλια,1
βγάζω τα άπλυτα σε τη φορά,1
